SITIO,FECHA,sitio_no,rio_laguna,mes,pH,Conduc. E,Solidos TD,Salinidad,Cloruros,Dtotal,Dca,DMg,AlcTotal,Bicarbonatos,Apta1,Apta2,Apta3,Apta4,AptaFinal,,,,,,,,,,,,
Boca Chica,15/05/15,2,1,5,6.52,439,221,0.2,59.97,205.42,170.21,35.21,195.32,195.32,1,1,1,1,1,,,,,,,,,,,,
Tetitlan,15/05/15,12,1,5,6.82,109.9,54.9,0,30.07,89.61,68.12,21.49,95.32,95.32,1,1,1,1,1,,,,,,,,,,,,
P.Libramiento,15/05/15,7,1,5,6.31,155.8,77.9,0,65.10,218.74,160.01,58.73,175.89,175.89,0,1,1,1,1,,,,,,,,,,,,
P. Roto,15/05/15,6,1,5,6.92,121.3,60.7,0,29.67,90.46,61.21,29.25,86.31,86.31,1,1,1,1,1,,,,,,,,,,,,
P.Prepa,15/05/15,8,1,5,6.61,118.6,59.4,0,25.62,87.12,58.40,28.72,89.24,89.24,1,1,1,1,1,,,,,,,,,,,,
Pozulmiche,15/05/15,11,1,5,6.15,108.40,55.45,0.00,29.56,90.65,65.32,25.33,96.12,96.12,0,1,1,1,1,,,,,,,,,,,,
El verde,15/05/15,4,1,5,6.73,118.3,59.2,0,23.97,81.98,56.14,25.84,90.09,90.09,1,1,1,1,1,,,,,,,,,,,,
El Paraje,15/05/15,3,1,5,6.05,126.63,65.78,0.00,38.12,95.12,72.14,22.98,95.32,95.32,0,1,1,1,1,,,,,,,,,,,,
Paraiso Mangle,15/05/15,9,0,5,6.60,6168.00,3126.98,3.30,1900.05,970.23,870.23,100.00,623.74,623.74,1,0,0,0,0,,,,,,,,,,,,
Pedregoso,15/05/15,10,0,5,6.60,6154.46,3185.14,3.40,1624.21,1090.21,780.18,310.03,650.36,650.36,1,0,0,0,0,,,,,,,,,,,,
Base Aérea,15/05/15,1,0,5,6.07,6025.31,2964.23,3.2,1523.64,899.70,745.62,154.08,523.64,523.64,0,0,0,0,0,,,,,,,,,,,,
La Barra,15/05/15,5,0,5,6.82,1616.8,1058.4,0.7,29.45,96.15,73.60,22.55,85.21,85.21,1,1,1,0,0,,,,,,,,,,,,
Boca Chica,30/05/15,2,1,5,5.82,231.00,115.40,0.00,54.32,200.32,158.11,42.21,187.43,187.43,0,1,1,1,1,,,,,,,,,,,,
Tetitlan,30/05/15,12,1,5,5.90,147.80,73.90,0.00,35.05,92.04,64.22,27.82,90.64,90.64,0,1,1,1,1,,,,,,,,,,,,
P.Libramiento,30/05/15,7,1,5,5.80,253.00,126.30,0.00,60.24,210.46,179.64,30.82,190.12,190.12,0,1,1,1,1,,,,,,,,,,,,
P. Roto,30/05/15,6,1,5,6.06,108.20,54.10,0.00,24.87,87.31,59.60,27.71,84.65,84.65,0,1,1,1,1,,,,,,,,,,,,
P.Prepa,30/05/15,8,1,5,5.97,108.70,54.30,0.00,24.40,86.32,61.24,25.08,86.60,86.60,0,1,1,1,1,,,,,,,,,,,,
Pozulmiche,30/05/15,11,1,5,6.04,107.80,53.90,0.00,23.61,87.96,63.14,24.82,89.02,89.02,0,1,1,1,1,,,,,,,,,,,,
El verde,30/05/15,4,1,5,6.16,106.20,53.10,0.00,20.65,85.30,61.22,24.08,89.54,59.54,0,1,1,1,1,,,,,,,,,,,,
El Paraje,30/05/15,3,1,5,5.99,120.40,60.20,0.00,34.51,92.84,70.01,22.83,90.64,90.64,0,1,1,1,1,,,,,,,,,,,,
Paraiso Mangle,30/05/15,9,0,5,6.55,6150.00,3080.00,3.30,1796.64,964.16,860.21,103.95,589.77,589.77,1,0,0,0,0,,,,,,,,,,,,
Pedregoso,30/05/15,10,0,5,6.64,6280.00,3140.00,3.40,1847.66,1000.30,766.33,233.97,600.04,600.04,1,0,0,0,0,,,,,,,,,,,,
Base Aérea,30/05/15,1,0,5,6.51,6320.00,3160.00,3.40,1850.01,1010.71,800.40,210.31,550.14,550.14,1,0,0,0,0,,,,,,,,,,,,
La Barra,30/05/15,5,0,5,6.13,1714.60,1157.30,0.80,27.32,90.05,69.50,20.55,89.67,89.67,0,1,1,0,0,,,,,,,,,,,,
Boca Chica,15/06/15,2,1,6,5.87,245.24,122.09,0.00,64.65,225.46,178.60,46.86,200.09,200.09,0,1,1,1,1,,,,,,,,,,,,
Tetitlan,15/06/15,12,1,6,5.95,137.64,68.56,0.00,39.64,116.65,75.02,41.63,105.20,105.20,0,1,1,1,1,,,,,,,,,,,,
P.Libramiento,15/06/15,7,1,6,5.79,249.18,124.14,0.00,69.14,230.09,183.41,46.68,197.40,197.40,0,1,1,1,1,,,,,,,,,,,,
P. Roto,15/06/15,6,1,6,5.97,110.08,56.98,0.00,25.47,89.02,60.27,28.75,100.02,100.02,0,1,1,1,1,,,,,,,,,,,,
P.Prepa,15/06/15,8,1,6,6.03,109.17,57.09,0.00,27.40,90.05,65.31,24.74,100.31,100.31,0,1,1,1,1,,,,,,,,,,,,
Pozulmiche,15/06/15,11,1,6,6.09,114.21,57.31,0.00,28.94,97.61,64.32,33.29,102.55,102.55,0,1,1,1,1,,,,,,,,,,,,
El verde,15/06/15,4,1,6,6.27,110.19,58.65,0.00,30.05,95.21,69.42,25.79,105.32,105.32,0,1,1,1,1,,,,,,,,,,,,
El Paraje,15/06/15,3,1,6,5.89,132.64,66.67,0.00,41.31,129.47,98.64,30.83,110.35,110.35,0,1,1,1,1,,,,,,,,,,,,
Paraiso Mangle,15/06/15,9,0,6,6.47,6220.09,3110.07,3.30,1810.08,1000.23,860.21,140.02,560.23,560.23,0,0,0,0,0,,,,,,,,,,,,
Pedregoso,15/06/15,10,0,6,6.75,6118.87,3059.46,3.40,1846.97,1156.96,900.24,256.72,586.54,586.84,1,0,0,0,0,,,,,,,,,,,,
Base Aérea,15/06/15,1,0,6,6.59,6452.07,3226.31,3.40,1845.43,1050.23,887.24,162.99,565.32,565.32,1,0,0,0,0,,,,,,,,,,,,
La Barra,15/06/15,5,0,6,6.05,1824.14,1062.20,0.70,34.64,110.05,74.20,35.85,100.10,100.10,0,1,1,0,0,,,,,,,,,,,,
Boca Chica,30/06/15,2,1,6,5.91,250.23,125.90,0.00,69.24,230.27,181.56,48.71,205.64,205.64,0,1,1,1,1,,,,,,,,,,,,
Tetitlan,30/06/15,12,1,6,6.05,140.23,70.18,0.00,40.06,119.24,77.69,43.13,108.65,108.65,0,1,1,1,1,,,,,,,,,,,,
P.Libramiento,30/06/15,7,1,6,5.90,252.03,130.37,0.00,70.05,234.15,189.64,44.51,200.18,200.18,0,1,1,1,1,,,,,,,,,,,,
P. Roto,30/06/15,6,1,6,6.01,112.64,57.90,0.00,27.69,92.60,64.68,27.92,89.64,89.64,0,1,1,1,1,,,,,,,,,,,,
P.Prepa,30/06/15,8,1,6,6.21,111.21,59.27,0.00,30.01,92.54,68.13,24.41,101.21,101.21,0,1,1,1,1,,,,,,,,,,,,
